STATION,STATION_NAME,DATE,PRCP,SNOW,TMAX,AWND
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150101,0.00,0.0,39,7.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150102,0.00,0.0,42,7.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150103,0.71,0.0,42,6.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150104,0.30,0.0,56,6.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150105,0.00,0.0,49,10.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150106,0.05,1.0,22,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150107,0.00,0.0,23,12.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150108,0.00,0.0,21,8.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150109,0.07,1.5,33,8.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150110,0.00,0.0,23,8.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150111,0.00,0.0,37,6.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150112,0.36,0.0,39,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150113,0.00,0.0,36,8.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150114,0.00,0.0,32,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150115,0.00,0.0,35,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150116,0.00,0.0,43,9.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150117,0.00,0.0,32,6.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150118,2.10,0.0,42,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150119,0.00,0.0,42,7.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150120,0.00,0.0,40,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150121,0.00,0.0,36,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150122,0.00,0.0,40,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150123,0.00,0.0,39,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150124,0.72,3.6,39,6.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150125,0.00,0.0,42,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150126,0.48,5.5,31,12.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150127,0.36,4.3,30,8.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150128,0.00,0.0,34,7.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150129,0.02,0.0,36,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150130,0.06,1.0,38,10.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150131,0.00,0.0,26,12.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150201,0.03,0.3,36,3.8
